"Site","Species","Abundance"
16,"Coccoloba.coronata",1
20,"Coccoloba.coronata",2
21,"Coccoloba.coronata",1
22,"Coccoloba.coronata",1
23,"Coccoloba.coronata",1
25,"Coccoloba.coronata",1
28,"Coccoloba.coronata",1
31,"Coccoloba.coronata",1
33,"Coccoloba.coronata",2
36,"Coccoloba.coronata",1
49,"Coccoloba.coronata",1
8,"Coccoloba.manzinellensis",2
13,"Coccoloba.manzinellensis",1
18,"Coccoloba.manzinellensis",2
22,"Coccoloba.manzinellensis",1
30,"Coccoloba.manzinellensis",2
34,"Coccoloba.manzinellensis",1
35,"Coccoloba.manzinellensis",1
36,"Coccoloba.manzinellensis",1
41,"Coccoloba.manzinellensis",1
47,"Coccoloba.manzinellensis",1
22,"Colubrina.glandulosa",1
1,"Cordia.alliodora",2
2,"Cordia.alliodora",3
3,"Cordia.alliodora",3
4,"Cordia.alliodora",7
5,"Cordia.alliodora",1
6,"Cordia.alliodora",1
7,"Cordia.alliodora",2
10,"Cordia.alliodora",2
11,"Cordia.alliodora",3
13,"Cordia.alliodora",2
14,"Cordia.alliodora",1
15,"Cordia.alliodora",1
16,"Cordia.alliodora",1
18,"Cordia.alliodora",2
19,"Cordia.alliodora",5
26,"Cordia.alliodora",1
29,"Cordia.alliodora",2
30,"Cordia.alliodora",2
31,"Cordia.alliodora",2
34,"Cordia.alliodora",2
37,"Cordia.alliodora",6
38,"Cordia.alliodora",2
41,"Cordia.alliodora",1
43,"Cordia.alliodora",1
46,"Cordia.alliodora",6
47,"Cordia.alliodora",1
50,"Cordia.alliodora",1
1,"Cordia.bicolor",12
2,"Cordia.bicolor",14
3,"Cordia.bicolor",35
4,"Cordia.bicolor",23
5,"Cordia.bicolor",13
6,"Cordia.bicolor",7
7,"Cordia.bicolor",5
8,"Cordia.bicolor",10
9,"Cordia.bicolor",7
10,"Cordia.bicolor",13
11,"Cordia.bicolor",10
12,"Cordia.bicolor",2
14,"Cordia.bicolor",11
15,"Cordia.bicolor",21
16,"Cordia.bicolor",11
17,"Cordia.bicolor",7
18,"Cordia.bicolor",2
19,"Cordia.bicolor",8
20,"Cordia.bicolor",17
21,"Cordia.bicolor",5
22,"Cordia.bicolor",4
23,"Cordia.bicolor",2
24,"Cordia.bicolor",3
25,"Cordia.bicolor",3
26,"Cordia.bicolor",1
27,"Cordia.bicolor",3
28,"Cordia.bicolor",4
29,"Cordia.bicolor",3
30,"Cordia.bicolor",5
32,"Cordia.bicolor",3
33,"Cordia.bicolor",3
35,"Cordia.bicolor",3
36,"Cordia.bicolor",9
37,"Cordia.bicolor",2
38,"Cordia.bicolor",3
39,"Cordia.bicolor",1
40,"Cordia.bicolor",2
41,"Cordia.bicolor",6
42,"Cordia.bicolor",9
43,"Cordia.bicolor",2
44,"Cordia.bicolor",3
45,"Cordia.bicolor",1
46,"Cordia.bicolor",7
47,"Cordia.bicolor",3
48,"Cordia.bicolor",3
49,"Cordia.bicolor",2
50,"Cordia.bicolor",2
1,"Cordia.lasiocalyx",8
2,"Cordia.lasiocalyx",6
3,"Cordia.lasiocalyx",6
4,"Cordia.lasiocalyx",11
5,"Cordia.lasiocalyx",7
6,"Cordia.lasiocalyx",6
7,"Cordia.lasiocalyx",6
8,"Cordia.lasiocalyx",3
10,"Cordia.lasiocalyx",4
11,"Cordia.lasiocalyx",5
12,"Cordia.lasiocalyx",3
13,"Cordia.lasiocalyx",4
14,"Cordia.lasiocalyx",7
15,"Cordia.lasiocalyx",3
16,"Cordia.lasiocalyx",10
17,"Cordia.lasiocalyx",3
18,"Cordia.lasiocalyx",3
19,"Cordia.lasiocalyx",4
20,"Cordia.lasiocalyx",4
21,"Cordia.lasiocalyx",11
22,"Cordia.lasiocalyx",5
23,"Cordia.lasiocalyx",10
24,"Cordia.lasiocalyx",4
25,"Cordia.lasiocalyx",4
26,"Cordia.lasiocalyx",8
27,"Cordia.lasiocalyx",9
28,"Cordia.lasiocalyx",4
29,"Cordia.lasiocalyx",5
31,"Cordia.lasiocalyx",6
32,"Cordia.lasiocalyx",7
33,"Cordia.lasiocalyx",11
34,"Cordia.lasiocalyx",5
35,"Cordia.lasiocalyx",4
36,"Cordia.lasiocalyx",10
37,"Cordia.lasiocalyx",13
38,"Cordia.lasiocalyx",8
39,"Cordia.lasiocalyx",8
40,"Cordia.lasiocalyx",3
41,"Cordia.lasiocalyx",12
42,"Cordia.lasiocalyx",12
43,"Cordia.lasiocalyx",12
44,"Cordia.lasiocalyx",20
45,"Cordia.lasiocalyx",8
46,"Cordia.lasiocalyx",17
47,"Cordia.lasiocalyx",13
48,"Cordia.lasiocalyx",14
49,"Cordia.lasiocalyx",7
50,"Cordia.lasiocalyx",11
4,"Coussarea.curvigemma",1
6,"Coussarea.curvigemma",2
7,"Coussarea.curvigemma",1
9,"Coussarea.curvigemma",1
10,"Coussarea.curvigemma",1
12,"Coussarea.curvigemma",3
13,"Coussarea.curvigemma",4
16,"Coussarea.curvigemma",1
17,"Coussarea.curvigemma",4
18,"Coussarea.curvigemma",6
19,"Coussarea.curvigemma",3
22,"Coussarea.curvigemma",11
23,"Coussarea.curvigemma",2
24,"Coussarea.curvigemma",1
27,"Coussarea.curvigemma",2
28,"Coussarea.curvigemma",2
30,"Coussarea.curvigemma",2
35,"Coussarea.curvigemma",1
46,"Coussarea.curvigemma",5
47,"Coussarea.curvigemma",1
48,"Coussarea.curvigemma",1
1,"Croton.billbergianus",2
2,"Croton.billbergianus",2
4,"Croton.billbergianus",11
5,"Croton.billbergianus",6
8,"Croton.billbergianus",4
9,"Croton.billbergianus",2
11,"Croton.billbergianus",1
12,"Croton.billbergianus",2
13,"Croton.billbergianus",12
14,"Croton.billbergianus",11
15,"Croton.billbergianus",1
16,"Croton.billbergianus",3
18,"Croton.billbergianus",4
19,"Croton.billbergianus",1
21,"Croton.billbergianus",1
23,"Croton.billbergianus",2
25,"Croton.billbergianus",1
26,"Croton.billbergianus",1
29,"Croton.billbergianus",1
30,"Croton.billbergianus",2
35,"Croton.billbergianus",1
37,"Croton.billbergianus",2
38,"Croton.billbergianus",2
40,"Croton.billbergianus",1
41,"Croton.billbergianus",6
42,"Croton.billbergianus",3
45,"Croton.billbergianus",1
47,"Croton.billbergianus",3
48,"Croton.billbergianus",6
49,"Croton.billbergianus",2
50,"Croton.billbergianus",1
19,"Cupania.cinerea",1
4,"Cupania.latifolia",1
16,"Cupania.latifolia",2
20,"Cupania.latifolia",1
27,"Cupania.latifolia",1
34,"Cupania.latifolia",1
36,"Cupania.latifolia",1
37,"Cupania.latifolia",1
41,"Cupania.latifolia",3
46,"Cupania.latifolia",1
13,"Cupania.rufescens",1
17,"Cupania.rufescens",2
18,"Cupania.rufescens",1
1,"Cupania.seemannii",2
2,"Cupania.seemannii",2
3,"Cupania.seemannii",1
5,"Cupania.seemannii",3
7,"Cupania.seemannii",1
8,"Cupania.seemannii",2
9,"Cupania.seemannii",2
11,"Cupania.seemannii",2
12,"Cupania.seemannii",1
13,"Cupania.seemannii",2
15,"Cupania.seemannii",4
17,"Cupania.seemannii",3
19,"Cupania.seemannii",1
20,"Cupania.seemannii",2
21,"Cupania.seemannii",2
23,"Cupania.seemannii",1
24,"Cupania.seemannii",1
25,"Cupania.seemannii",1
27,"Cupania.seemannii",2
29,"Cupania.seemannii",2
30,"Cupania.seemannii",1
32,"Cupania.seemannii",1
35,"Cupania.seemannii",1
36,"Cupania.seemannii",1
39,"Cupania.seemannii",1
41,"Cupania.seemannii",1
42,"Cupania.seemannii",1
46,"Cupania.seemannii",1
47,"Cupania.seemannii",1
50,"Cupania.seemannii",1
2,"Dendropanax.arboreus",3
3,"Dendropanax.arboreus",6
5,"Dendropanax.arboreus",5
6,"Dendropanax.arboreus",2
7,"Dendropanax.arboreus",1
8,"Dendropanax.arboreus",6
9,"Dendropanax.arboreus",1
10,"Dendropanax.arboreus",3
11,"Dendropanax.arboreus",2
12,"Dendropanax.arboreus",2
13,"Dendropanax.arboreus",5
14,"Dendropanax.arboreus",2
15,"Dendropanax.arboreus",5
16,"Dendropanax.arboreus",3
17,"Dendropanax.arboreus",2
18,"Dendropanax.arboreus",2
19,"Dendropanax.arboreus",3
20,"Dendropanax.arboreus",1
21,"Dendropanax.arboreus",3
23,"Dendropanax.arboreus",1
24,"Dendropanax.arboreus",3
25,"Dendropanax.arboreus",10
29,"Dendropanax.arboreus",2
30,"Dendropanax.arboreus",3
33,"Dendropanax.arboreus",1
34,"Dendropanax.arboreus",2
37,"Dendropanax.arboreus",1
38,"Dendropanax.arboreus",1
40,"Dendropanax.arboreus",1
41,"Dendropanax.arboreus",1
43,"Dendropanax.arboreus",1
45,"Dendropanax.arboreus",2
49,"Dendropanax.arboreus",1
50,"Dendropanax.arboreus",1
3,"Desmopsis.panamensis",4
10,"Desmopsis.panamensis",1
19,"Desmopsis.panamensis",1
23,"Desmopsis.panamensis",1
33,"Desmopsis.panamensis",1
34,"Desmopsis.panamensis",1
36,"Desmopsis.panamensis",1
37,"Desmopsis.panamensis",1
39,"Desmopsis.panamensis",1
44,"Desmopsis.panamensis",1
1,"Diospyros.artanthifolia",1
2,"Diospyros.artanthifolia",1
3,"Diospyros.artanthifolia",1
4,"Diospyros.artanthifolia",1
10,"Diospyros.artanthifolia",1
11,"Diospyros.artanthifolia",1
17,"Diospyros.artanthifolia",1
22,"Diospyros.artanthifolia",2
31,"Diospyros.artanthifolia",1
38,"Diospyros.artanthifolia",1
46,"Diospyros.artanthifolia",3
47,"Diospyros.artanthifolia",2
1,"Dipteryx.oleifera",1
2,"Dipteryx.oleifera",1
3,"Dipteryx.oleifera",3
8,"Dipteryx.oleifera",2
9,"Dipteryx.oleifera",1
10,"Dipteryx.oleifera",2
14,"Dipteryx.oleifera",1
15,"Dipteryx.oleifera",1
19,"Dipteryx.oleifera",1
20,"Dipteryx.oleifera",2
26,"Dipteryx.oleifera",1
27,"Dipteryx.oleifera",1
28,"Dipteryx.oleifera",3
29,"Dipteryx.oleifera",1
30,"Dipteryx.oleifera",2
32,"Dipteryx.oleifera",1
33,"Dipteryx.oleifera",1
36,"Dipteryx.oleifera",1
43,"Dipteryx.oleifera",2
44,"Dipteryx.oleifera",1
45,"Dipteryx.oleifera",2
46,"Dipteryx.oleifera",1
50,"Dipteryx.oleifera",1
1,"Drypetes.standleyi",2
2,"Drypetes.standleyi",1
3,"Drypetes.standleyi",2
11,"Drypetes.standleyi",3
12,"Drypetes.standleyi",2
16,"Drypetes.standleyi",2
17,"Drypetes.standleyi",3
18,"Drypetes.standleyi",1
19,"Drypetes.standleyi",1
21,"Drypetes.standleyi",7
22,"Drypetes.standleyi",4
25,"Drypetes.standleyi",2
26,"Drypetes.standleyi",8
27,"Drypetes.standleyi",7
28,"Drypetes.standleyi",2
29,"Drypetes.standleyi",4
30,"Drypetes.standleyi",3
31,"Drypetes.standleyi",15
32,"Drypetes.standleyi",6
33,"Drypetes.standleyi",2
34,"Drypetes.standleyi",1
35,"Drypetes.standleyi",1
36,"Drypetes.standleyi",39
37,"Drypetes.standleyi",13
38,"Drypetes.standleyi",12
39,"Drypetes.standleyi",2
41,"Drypetes.standleyi",21
42,"Drypetes.standleyi",14
43,"Drypetes.standleyi",17
44,"Drypetes.standleyi",8
45,"Drypetes.standleyi",7
46,"Drypetes.standleyi",33
47,"Drypetes.standleyi",12
48,"Drypetes.standleyi",11
49,"Drypetes.standleyi",5
50,"Drypetes.standleyi",12
13,"Elaeis.oleifera",6
18,"Elaeis.oleifera",9
19,"Elaeis.oleifera",1
23,"Elaeis.oleifera",5
19,"Enterolobium.schomburgkii",1
30,"Enterolobium.schomburgkii",1
6,"Erythrina.costaricensis",3
9,"Erythrina.costaricensis",1
11,"Erythrina.costaricensis",1
14,"Erythrina.costaricensis",1
15,"Erythrina.costaricensis",1
16,"Erythrina.costaricensis",1
20,"Erythrina.costaricensis",1
23,"Erythrina.costaricensis",1
24,"Erythrina.costaricensis",3
26,"Erythrina.costaricensis",1
36,"Erythrina.costaricensis",1
37,"Erythrina.costaricensis",1
42,"Erythrina.costaricensis",1
43,"Erythrina.costaricensis",2
44,"Erythrina.costaricensis",4
45,"Erythrina.costaricensis",1
49,"Erythrina.costaricensis",2
2,"Erythroxylum.macrophyllum",1
8,"Erythroxylum.macrophyllum",1
9,"Erythroxylum.macrophyllum",1
10,"Erythroxylum.macrophyllum",1
12,"Erythroxylum.macrophyllum",1
15,"Erythroxylum.macrophyllum",1
20,"Erythroxylum.macrophyllum",1
22,"Erythroxylum.macrophyllum",2
23,"Erythroxylum.macrophyllum",1
25,"Erythroxylum.macrophyllum",1
27,"Erythroxylum.macrophyllum",1
30,"Erythroxylum.macrophyllum",1
35,"Erythroxylum.macrophyllum",1
37,"Erythroxylum.macrophyllum",1
48,"Erythroxylum.macrophyllum",1
49,"Erythroxylum.macrophyllum",1
50,"Erythroxylum.macrophyllum",1
2,"Eugenia.florida",1
4,"Eugenia.florida",7
5,"Eugenia.florida",2
8,"Eugenia.florida",1
9,"Eugenia.florida",1
10,"Eugenia.florida",3
11,"Eugenia.florida",1
12,"Eugenia.florida",1
13,"Eugenia.florida",2
14,"Eugenia.florida",1
17,"Eugenia.florida",2
18,"Eugenia.florida",2
19,"Eugenia.florida",2
20,"Eugenia.florida",1
21,"Eugenia.florida",1
22,"Eugenia.florida",1
23,"Eugenia.florida",2
24,"Eugenia.florida",1
25,"Eugenia.florida",2
26,"Eugenia.florida",1
27,"Eugenia.florida",1
29,"Eugenia.florida",5
30,"Eugenia.florida",3
32,"Eugenia.florida",1
33,"Eugenia.florida",1
34,"Eugenia.florida",4
35,"Eugenia.florida",1
36,"Eugenia.florida",2
37,"Eugenia.florida",2
38,"Eugenia.florida",3
39,"Eugenia.florida",4
40,"Eugenia.florida",1
41,"Eugenia.florida",1
42,"Eugenia.florida",2
43,"Eugenia.florida",3
44,"Eugenia.florida",2
45,"Eugenia.florida",1
46,"Eugenia.florida",4
47,"Eugenia.florida",4
48,"Eugenia.florida",1
8,"Eugenia.galalonensis",1
12,"Eugenia.galalonensis",1
19,"Eugenia.galalonensis",1
21,"Eugenia.galalonensis",1
25,"Eugenia.galalonensis",1
26,"Eugenia.galalonensis",1
29,"Eugenia.galalonensis",1
40,"Eugenia.galalonensis",2
47,"Eugenia.galalonensis",1
50,"Eugenia.galalonensis",2
3,"Eugenia.nesiotica",1
7,"Eugenia.nesiotica",5
8,"Eugenia.nesiotica",4
9,"Eugenia.nesiotica",3
12,"Eugenia.nesiotica",2
13,"Eugenia.nesiotica",2
14,"Eugenia.nesiotica",3
15,"Eugenia.nesiotica",2
17,"Eugenia.nesiotica",2
18,"Eugenia.nesiotica",2
19,"Eugenia.nesiotica",1
21,"Eugenia.nesiotica",1
22,"Eugenia.nesiotica",1
23,"Eugenia.nesiotica",1
27,"Eugenia.nesiotica",2
28,"Eugenia.nesiotica",1
32,"Eugenia.nesiotica",1
33,"Eugenia.nesiotica",1
34,"Eugenia.nesiotica",3
36,"Eugenia.nesiotica",2
38,"Eugenia.nesiotica",1
39,"Eugenia.nesiotica",2
40,"Eugenia.nesiotica",2
43,"Eugenia.nesiotica",3
45,"Eugenia.nesiotica",1
46,"Eugenia.nesiotica",1
47,"Eugenia.nesiotica",1
48,"Eugenia.nesiotica",1
49,"Eugenia.nesiotica",2
50,"Eugenia.nesiotica",1
1,"Eugenia.oerstediana",3
2,"Eugenia.oerstediana",2
3,"Eugenia.oerstediana",5
4,"Eugenia.oerstediana",1
5,"Eugenia.oerstediana",5
6,"Eugenia.oerstediana",2
7,"Eugenia.oerstediana",2
8,"Eugenia.oerstediana",3
9,"Eugenia.oerstediana",3
10,"Eugenia.oerstediana",3
11,"Eugenia.oerstediana",6
12,"Eugenia.oerstediana",1
13,"Eugenia.oerstediana",11
14,"Eugenia.oerstediana",1
15,"Eugenia.oerstediana",4
16,"Eugenia.oerstediana",7
17,"Eugenia.oerstediana",3
18,"Eugenia.oerstediana",4
19,"Eugenia.oerstediana",6
20,"Eugenia.oerstediana",2
21,"Eugenia.oerstediana",2
22,"Eugenia.oerstediana",2
23,"Eugenia.oerstediana",2
24,"Eugenia.oerstediana",2
25,"Eugenia.oerstediana",6
26,"Eugenia.oerstediana",1
27,"Eugenia.oerstediana",3
28,"Eugenia.oerstediana",5
29,"Eugenia.oerstediana",1
30,"Eugenia.oerstediana",5
31,"Eugenia.oerstediana",3
32,"Eugenia.oerstediana",2
33,"Eugenia.oerstediana",5
34,"Eugenia.oerstediana",7
35,"Eugenia.oerstediana",6
37,"Eugenia.oerstediana",4
38,"Eugenia.oerstediana",10
39,"Eugenia.oerstediana",4
40,"Eugenia.oerstediana",3
41,"Eugenia.oerstediana",7
42,"Eugenia.oerstediana",8
43,"Eugenia.oerstediana",4
44,"Eugenia.oerstediana",3
45,"Eugenia.oerstediana",2
47,"Eugenia.oerstediana",2
48,"Eugenia.oerstediana",1
49,"Eugenia.oerstediana",1
50,"Eugenia.oerstediana",2
1,"Faramea.occidentalis",14
2,"Faramea.occidentalis",36
3,"Faramea.occidentalis",39
4,"Faramea.occidentalis",39
5,"Faramea.occidentalis",22
6,"Faramea.occidentalis",16
7,"Faramea.occidentalis",38
8,"Faramea.occidentalis",41
9,"Faramea.occidentalis",33
10,"Faramea.occidentalis",42
11,"Faramea.occidentalis",17
12,"Faramea.occidentalis",38
13,"Faramea.occidentalis",39
14,"Faramea.occidentalis",31
15,"Faramea.occidentalis",31
16,"Faramea.occidentalis",27
17,"Faramea.occidentalis",42
18,"Faramea.occidentalis",35
19,"Faramea.occidentalis",42
20,"Faramea.occidentalis",21
21,"Faramea.occidentalis",17
22,"Faramea.occidentalis",58
23,"Faramea.occidentalis",26
24,"Faramea.occidentalis",24
25,"Faramea.occidentalis",35
26,"Faramea.occidentalis",31
27,"Faramea.occidentalis",51
28,"Faramea.occidentalis",58
29,"Faramea.occidentalis",54
30,"Faramea.occidentalis",61
31,"Faramea.occidentalis",30
32,"Faramea.occidentalis",60
33,"Faramea.occidentalis",53
34,"Faramea.occidentalis",49
35,"Faramea.occidentalis",37
36,"Faramea.occidentalis",32
37,"Faramea.occidentalis",65
38,"Faramea.occidentalis",80
39,"Faramea.occidentalis",43
40,"Faramea.occidentalis",41
41,"Faramea.occidentalis",22
42,"Faramea.occidentalis",25
43,"Faramea.occidentalis",15
44,"Faramea.occidentalis",15
45,"Faramea.occidentalis",10
46,"Faramea.occidentalis",22
47,"Faramea.occidentalis",27
48,"Faramea.occidentalis",15
49,"Faramea.occidentalis",11
50,"Faramea.occidentalis",7
2,"Ficus.colubrinae",1
18,"Ficus.costaricana",1
20,"Ficus.costaricana",1
23,"Ficus.costaricana",1
36,"Ficus.costaricana",1
38,"Ficus.costaricana",1
39,"Ficus.costaricana",2
13,"Ficus.insipida",1
23,"Ficus.insipida",1
40,"Ficus.insipida",1
1,"Ficus.maxima",1
22,"Ficus.maxima",1
31,"Ficus.maxima",1
41,"Ficus.maxima",1
14,"Ficus.obtusifolia",1
22,"Ficus.obtusifolia",1
24,"Ficus.obtusifolia",2
33,"Ficus.obtusifolia",1
41,"Ficus.obtusifolia",1
47,"Ficus.obtusifolia",1
7,"Ficus.popenoei",1
12,"Ficus.popenoei",1
44,"Ficus.popenoei",1
3,"Ficus.tonduzii",1
4,"Ficus.tonduzii",2
5,"Ficus.tonduzii",1
12,"Ficus.tonduzii",1
15,"Ficus.tonduzii",2
16,"Ficus.tonduzii",1
20,"Ficus.tonduzii",3
25,"Ficus.tonduzii",1
31,"Ficus.tonduzii",1
36,"Ficus.tonduzii",1
37,"Ficus.tonduzii",1
38,"Ficus.tonduzii",1
42,"Ficus.tonduzii",2
43,"Ficus.tonduzii",2
48,"Ficus.tonduzii",1
49,"Ficus.tonduzii",1
50,"Ficus.tonduzii",1
34,"Ficus.trigonata",1
42,"Ficus.trigonata",1
43,"Ficus.trigonata",1
44,"Ficus.trigonata",1
50,"Ficus.trigonata",1
1,"Ficus.yoponensis",1
6,"Ficus.yoponensis",1
7,"Ficus.yoponensis",1
25,"Ficus.yoponensis",1
35,"Ficus.yoponensis",1
47,"Ficus.yoponensis",1
2,"Garcinia.intermedia",1
3,"Garcinia.intermedia",1
4,"Garcinia.intermedia",3
5,"Garcinia.intermedia",2
6,"Garcinia.intermedia",1
7,"Garcinia.intermedia",2
8,"Garcinia.intermedia",2
9,"Garcinia.intermedia",1
11,"Garcinia.intermedia",1
12,"Garcinia.intermedia",3
13,"Garcinia.intermedia",3
14,"Garcinia.intermedia",1
16,"Garcinia.intermedia",1
18,"Garcinia.intermedia",2
19,"Garcinia.intermedia",3
21,"Garcinia.intermedia",1
22,"Garcinia.intermedia",3
23,"Garcinia.intermedia",2
24,"Garcinia.intermedia",1
25,"Garcinia.intermedia",3
26,"Garcinia.intermedia",2
27,"Garcinia.intermedia",2
28,"Garcinia.intermedia",4
29,"Garcinia.intermedia",1
30,"Garcinia.intermedia",1
32,"Garcinia.intermedia",3
34,"Garcinia.intermedia",4
35,"Garcinia.intermedia",2
37,"Garcinia.intermedia",1
38,"Garcinia.intermedia",2
39,"Garcinia.intermedia",6
40,"Garcinia.intermedia",6
43,"Garcinia.intermedia",2
44,"Garcinia.intermedia",4
46,"Garcinia.intermedia",8
47,"Garcinia.intermedia",3
50,"Garcinia.intermedia",4
1,"Garcinia.madruno",4
5,"Garcinia.madruno",1
10,"Garcinia.madruno",1
15,"Garcinia.madruno",1
20,"Garcinia.madruno",1
23,"Garcinia.madruno",1
25,"Garcinia.madruno",1
27,"Garcinia.madruno",1
34,"Garcinia.madruno",1
3,"Genipa.americana",1
7,"Genipa.americana",1
9,"Genipa.americana",1
10,"Genipa.americana",1
13,"Genipa.americana",1
14,"Genipa.americana",1
16,"Genipa.americana",2
17,"Genipa.americana",1
18,"Genipa.americana",1
26,"Genipa.americana",1
29,"Genipa.americana",1
36,"Genipa.americana",1
39,"Genipa.americana",1
41,"Genipa.americana",2
45,"Genipa.americana",1
46,"Genipa.americana",1
47,"Genipa.americana",1
49,"Genipa.americana",1
50,"Genipa.americana",3
1,"Guapira.myrtiflora",3
2,"Guapira.myrtiflora",1
4,"Guapira.myrtiflora",1
5,"Guapira.myrtiflora",1
6,"Guapira.myrtiflora",7
7,"Guapira.myrtiflora",3
8,"Guapira.myrtiflora",1
9,"Guapira.myrtiflora",1
10,"Guapira.myrtiflora",1
11,"Guapira.myrtiflora",1
12,"Guapira.myrtiflora",3
13,"Guapira.myrtiflora",2
15,"Guapira.myrtiflora",1
16,"Guapira.myrtiflora",2
17,"Guapira.myrtiflora",1
19,"Guapira.myrtiflora",3
20,"Guapira.myrtiflora",1
21,"Guapira.myrtiflora",3
22,"Guapira.myrtiflora",3
23,"Guapira.myrtiflora",1
24,"Guapira.myrtiflora",7
25,"Guapira.myrtiflora",2
26,"Guapira.myrtiflora",2
27,"Guapira.myrtiflora",4
28,"Guapira.myrtiflora",2
29,"Guapira.myrtiflora",2
30,"Guapira.myrtiflora",2
31,"Guapira.myrtiflora",2
33,"Guapira.myrtiflora",4
34,"Guapira.myrtiflora",2
35,"Guapira.myrtiflora",1
36,"Guapira.myrtiflora",2
37,"Guapira.myrtiflora",1
38,"Guapira.myrtiflora",5
39,"Guapira.myrtiflora",3
40,"Guapira.myrtiflora",4
41,"Guapira.myrtiflora",1
42,"Guapira.myrtiflora",1
43,"Guapira.myrtiflora",1
45,"Guapira.myrtiflora",2
46,"Guapira.myrtiflora",2
47,"Guapira.myrtiflora",2
48,"Guapira.myrtiflora",4
49,"Guapira.myrtiflora",1
1,"Guarea.fuzzy",1
2,"Guarea.fuzzy",1
4,"Guarea.fuzzy",1
5,"Guarea.fuzzy",3
8,"Guarea.fuzzy",2
10,"Guarea.fuzzy",3
11,"Guarea.fuzzy",1
12,"Guarea.fuzzy",1
15,"Guarea.fuzzy",2
16,"Guarea.fuzzy",2
20,"Guarea.fuzzy",1
21,"Guarea.fuzzy",3
23,"Guarea.fuzzy",2
25,"Guarea.fuzzy",1
26,"Guarea.fuzzy",1
27,"Guarea.fuzzy",1
28,"Guarea.fuzzy",2
29,"Guarea.fuzzy",3
30,"Guarea.fuzzy",2
32,"Guarea.fuzzy",2
33,"Guarea.fuzzy",1
34,"Guarea.fuzzy",5
36,"Guarea.fuzzy",2
37,"Guarea.fuzzy",2
38,"Guarea.fuzzy",2
39,"Guarea.fuzzy",1
40,"Guarea.fuzzy",2
42,"Guarea.fuzzy",1
43,"Guarea.fuzzy",1
44,"Guarea.fuzzy",3
45,"Guarea.fuzzy",7
46,"Guarea.fuzzy",2
48,"Guarea.fuzzy",1
49,"Guarea.fuzzy",1
50,"Guarea.fuzzy",2
8,"Guarea.grandifolia",1
11,"Guarea.grandifolia",1
15,"Guarea.grandifolia",2
20,"Guarea.grandifolia",1
22,"Guarea.grandifolia",1
29,"Guarea.grandifolia",1
33,"Guarea.grandifolia",1
37,"Guarea.grandifolia",1
39,"Guarea.grandifolia",1
1,"Guarea.guidonia",2
2,"Guarea.guidonia",6
3,"Guarea.guidonia",2
4,"Guarea.guidonia",5
5,"Guarea.guidonia",3
6,"Guarea.guidonia",4
7,"Guarea.guidonia",4
9,"Guarea.guidonia",1
10,"Guarea.guidonia",5
11,"Guarea.guidonia",5
12,"Guarea.guidonia",3
13,"Guarea.guidonia",4
14,"Guarea.guidonia",3
16,"Guarea.guidonia",7
17,"Guarea.guidonia",2
18,"Guarea.guidonia",2
19,"Guarea.guidonia",2
20,"Guarea.guidonia",5
21,"Guarea.guidonia",7
22,"Guarea.guidonia",4
23,"Guarea.guidonia",6
24,"Guarea.guidonia",8
25,"Guarea.guidonia",6
26,"Guarea.guidonia",6
27,"Guarea.guidonia",12
28,"Guarea.guidonia",8
29,"Guarea.guidonia",3
30,"Guarea.guidonia",2
31,"Guarea.guidonia",9
32,"Guarea.guidonia",11
33,"Guarea.guidonia",27
34,"Guarea.guidonia",16
35,"Guarea.guidonia",3
36,"Guarea.guidonia",10
37,"Guarea.guidonia",24
38,"Guarea.guidonia",12
39,"Guarea.guidonia",9
40,"Guarea.guidonia",6
41,"Guarea.guidonia",18
42,"Guarea.guidonia",8
43,"Guarea.guidonia",16
44,"Guarea.guidonia",8
45,"Guarea.guidonia",11
46,"Guarea.guidonia",4
47,"Guarea.guidonia",10
48,"Guarea.guidonia",13
49,"Guarea.guidonia",20
50,"Guarea.guidonia",14
1,"Guatteria.dumetorum",6
2,"Guatteria.dumetorum",16
3,"Guatteria.dumetorum",6
4,"Guatteria.dumetorum",3
5,"Guatteria.dumetorum",9
6,"Guatteria.dumetorum",7
7,"Guatteria.dumetorum",8
8,"Guatteria.dumetorum",6
9,"Guatteria.dumetorum",2
10,"Guatteria.dumetorum",2
11,"Guatteria.dumetorum",3
12,"Guatteria.dumetorum",2
14,"Guatteria.dumetorum",7
15,"Guatteria.dumetorum",16
16,"Guatteria.dumetorum",5
17,"Guatteria.dumetorum",3
19,"Guatteria.dumetorum",3
20,"Guatteria.dumetorum",7
21,"Guatteria.dumetorum",10
22,"Guatteria.dumetorum",5
23,"Guatteria.dumetorum",2
24,"Guatteria.dumetorum",5
25,"Guatteria.dumetorum",2
26,"Guatteria.dumetorum",13
27,"Guatteria.dumetorum",3
28,"Guatteria.dumetorum",3
29,"Guatteria.dumetorum",5
30,"Guatteria.dumetorum",1
31,"Guatteria.dumetorum",10
32,"Guatteria.dumetorum",11
33,"Guatteria.dumetorum",3
34,"Guatteria.dumetorum",1
36,"Guatteria.dumetorum",8
37,"Guatteria.dumetorum",5
38,"Guatteria.dumetorum",3
39,"Guatteria.dumetorum",1
40,"Guatteria.dumetorum",4
41,"Guatteria.dumetorum",5
42,"Guatteria.dumetorum",7
43,"Guatteria.dumetorum",5
44,"Guatteria.dumetorum",6
